SquareFeet,Bedrooms,Bathrooms,YearBuilt,Neighborhood_Rural,Neighborhood_Suburb,Neighborhood_Urban,Price
2498,2,3,2021,1.0,0.0,0.0,288178.19576935424
2380,5,3,1977,0.0,0.0,1.0,374155.9213782523
2274,5,2,1957,0.0,0.0,1.0,242571.54923989
2215,5,1,1977,0.0,1.0,0.0,150048.3177793042
2078,2,3,1962,0.0,1.0,0.0,241134.90831543045
2994,3,3,1982,0.0,0.0,1.0,343226.2449942318
2238,3,3,2015,0.0,1.0,0.0,277081.7871105143
1268,4,3,1980,0.0,0.0,1.0,129268.71083443271
2006,3,3,1962,0.0,1.0,0.0,153881.13749145958
1078,2,1,1997,0.0,1.0,0.0,137695.53118856935
2001,5,3,1983,1.0,0.0,0.0,218534.64154784105
1493,5,1,1976,0.0,1.0,0.0,237844.41541645536
1416,5,3,2012,0.0,0.0,1.0,186743.67485866876
2660,2,1,1995,0.0,0.0,1.0,314817.66159073205
2879,2,3,1999,1.0,0.0,0.0,332848.0635496968
1591,2,1,2007,0.0,0.0,1.0,190226.9913517977
1998,2,3,2001,0.0,1.0,0.0,277790.6358560544
2210,3,1,1991,0.0,1.0,0.0,273904.0056988332
1143,5,2,1976,0.0,0.0,1.0,42333.4117067488
1505,5,3,2015,1.0,0.0,0.0,179176.10093769355
2935,2,2,2014,0.0,1.0,0.0,310095.1201497874
2999,5,3,1963,1.0,0.0,0.0,361892.491875194
2105,3,3,1950,0.0,0.0,1.0,168232.98674821042
2345,3,2,1987,0.0,1.0,0.0,257075.6034028205
2708,5,2,2010,0.0,1.0,0.0,301978.7352913619
2440,3,3,2008,1.0,0.0,0.0,229133.683053438
1180,5,2,1973,0.0,1.0,0.0,198987.82007696648
2121,4,1,1995,0.0,1.0,0.0,273136.21254086896
2928,3,3,1968,0.0,0.0,1.0,323411.4044413259
2791,2,3,1988,0.0,0.0,1.0,182074.84618865847
2974,5,1,1978,1.0,0.0,0.0,311022.25059616537
1413,3,3,1963,0.0,0.0,1.0,271184.06962753186
1463,5,2,1995,0.0,0.0,1.0,158047.25990166678
2459,3,2,1980,1.0,0.0,0.0,195014.22162584803
1908,5,3,1971,0.0,1.0,0.0,206301.81116527057
1737,2,2,1952,1.0,0.0,0.0,155729.4902938323
2924,5,2,1975,0.0,1.0,0.0,322540.5502837622
2199,2,3,1969,0.0,0.0,1.0,192154.86909300627
2411,5,3,2000,0.0,0.0,1.0,290493.4642530106
1644,3,1,1975,0.0,0.0,1.0,212913.18654249675
2447,2,2,1980,1.0,0.0,0.0,247295.214620984
1647,5,1,1953,0.0,1.0,0.0,239754.24036932463
2367,3,3,1977,1.0,0.0,0.0,224169.54854099036
1793,4,1,1968,1.0,0.0,0.0,110435.59251552446
2273,4,2,2000,0.0,1.0,0.0,224722.19205437505
2580,5,1,1994,0.0,1.0,0.0,282597.82176865655
2893,4,3,1977,1.0,0.0,0.0,342856.25096141524
1895,2,2,2008,0.0,0.0,1.0,156308.4139321603
1696,2,2,2005,0.0,1.0,0.0,139640.53569950513
1228,3,1,2002,0.0,1.0,0.0,85823.36139287759
2014,5,2,1966,0.0,0.0,1.0,258300.2948606304
1716,4,1,2005,0.0,0.0,1.0,250131.14399284768
1806,3,2,2010,0.0,1.0,0.0,199651.7819762779
1954,4,1,1985,0.0,0.0,1.0,163603.25229788772
1364,5,1,2020,0.0,1.0,0.0,98516.206688583
1784,5,3,2020,0.0,0.0,1.0,241695.47486353465
2936,3,2,1964,0.0,1.0,0.0,354391.56495863554
1041,5,1,2004,0.0,1.0,0.0,82960.06353843128
1096,4,3,1961,0.0,0.0,1.0,102944.69099599763
1242,4,1,1961,0.0,1.0,0.0,107574.5532163821
1744,5,1,2008,0.0,0.0,1.0,200375.5707281546
1404,2,1,2004,1.0,0.0,0.0,151802.6204046399
2054,5,1,1974,0.0,1.0,0.0,230999.5987959584
2526,4,2,2002,0.0,0.0,1.0,206858.89477318
1362,3,1,1988,1.0,0.0,0.0,199089.3977113417
2302,3,3,2021,1.0,0.0,0.0,182849.07534943696
2888,3,2,1970,0.0,1.0,0.0,303496.6194444305
1774,4,2,1986,0.0,1.0,0.0,163207.4250007007
1446,5,2,2017,1.0,0.0,0.0,70829.8174967861
1267,4,3,1969,0.0,1.0,0.0,268015.2393746061
1578,3,2,1958,0.0,0.0,1.0,285128.8676977396
1862,3,3,1970,0.0,0.0,1.0,177316.49773577508
1263,5,1,1997,1.0,0.0,0.0,112002.43441847934
2425,5,2,1989,1.0,0.0,0.0,269753.6360239221
1870,2,1,1966,0.0,0.0,1.0,169982.51280954562
1777,5,3,1967,0.0,1.0,0.0,155067.46241532871
1124,4,3,2021,0.0,0.0,1.0,112723.636899278
1249,5,3,1982,0.0,0.0,1.0,177511.56795711152
1636,5,1,2020,0.0,0.0,1.0,276666.6954978712
1714,3,1,1966,1.0,0.0,0.0,273141.8997396786
1906,4,3,1992,0.0,1.0,0.0,177042.88469770743
1261,4,3,1971,0.0,0.0,1.0,117079.61008928691
1474,2,1,1957,0.0,0.0,1.0,152043.00858352298
1000,2,3,1960,0.0,0.0,1.0,137635.36442966445
1750,3,1,2013,0.0,1.0,0.0,212794.16482529376
2750,3,1,2002,0.0,0.0,1.0,330323.9251962884
2880,4,2,1956,0.0,0.0,1.0,363580.1630870598
2451,2,1,1987,0.0,1.0,0.0,321129.8663483471
2567,4,3,2012,0.0,0.0,1.0,272673.7134395655
2189,3,1,2018,0.0,1.0,0.0,154693.9070351412
1633,2,1,1992,0.0,0.0,1.0,224945.96276651375
1301,2,3,2003,1.0,0.0,0.0,169879.7377115095
2025,5,2,1993,1.0,0.0,0.0,240145.9702539115
2781,4,1,1972,0.0,1.0,0.0,340647.50935774605
2341,3,1,2009,0.0,0.0,1.0,317101.50452222605
1773,5,1,1993,0.0,1.0,0.0,183646.1064334917
2744,2,2,1992,0.0,1.0,0.0,327442.29982744897
1985,3,2,2017,0.0,1.0,0.0,267524.5114459489
1159,4,2,1978,0.0,0.0,1.0,168717.45228043135
2816,5,2,1974,0.0,1.0,0.0,356063.8292210288
2427,4,2,1962,1.0,0.0,0.0,272533.204090492
2391,2,1,1961,0.0,0.0,1.0,274991.373946806
1322,2,1,1970,0.0,0.0,1.0,113283.05241620942
2517,3,2,1985,0.0,1.0,0.0,210843.4624680711
2001,5,2,1991,0.0,0.0,1.0,304239.7785029536
2753,5,2,1971,0.0,1.0,0.0,365007.8257115177
1445,3,1,1960,1.0,0.0,0.0,129999.61313798255
2044,5,3,1954,0.0,0.0,1.0,251968.212950908
2273,3,2,1954,1.0,0.0,0.0,182788.72538058733
1928,2,1,1971,1.0,0.0,0.0,179302.17427635976
2993,3,2,2004,0.0,0.0,1.0,315105.10826262564
1461,3,3,2013,0.0,1.0,0.0,220907.5686495528
2268,3,3,1962,1.0,0.0,0.0,258049.2152281849
2663,3,1,1955,1.0,0.0,0.0,347515.9568565182
2428,2,1,1995,0.0,1.0,0.0,273469.8465118581
2405,3,2,1993,0.0,1.0,0.0,264140.415932668
2958,5,2,2020,0.0,1.0,0.0,438327.8720788427
2674,3,1,1955,0.0,0.0,1.0,373222.437902362
2631,2,1,1997,1.0,0.0,0.0,307172.568055852
2503,3,2,1954,0.0,0.0,1.0,234206.9069280748
1333,4,2,2015,0.0,1.0,0.0,126148.96656208296
2833,2,2,2001,0.0,1.0,0.0,311474.76258242305
2031,5,1,2004,0.0,0.0,1.0,209753.88895563403
1569,4,2,2011,0.0,1.0,0.0,172203.17991745062
1461,3,2,2017,0.0,0.0,1.0,205534.04576177537
1131,3,2,2003,1.0,0.0,0.0,116396.73871231984
2474,3,3,1958,0.0,1.0,0.0,311093.6534337001
2354,2,2,1997,0.0,1.0,0.0,304001.9133263072
2600,4,3,2014,1.0,0.0,0.0,354819.2228137499
2055,4,2,1959,0.0,0.0,1.0,271520.8458732262
2737,4,1,1981,0.0,0.0,1.0,352330.6216221421
2806,4,1,1969,0.0,0.0,1.0,308929.6075799778
2617,2,1,1959,0.0,1.0,0.0,293676.19016835967
2825,5,3,1994,0.0,0.0,1.0,299604.16009341634
1078,5,3,1951,1.0,0.0,0.0,229586.54560004047
1648,2,1,1990,1.0,0.0,0.0,55311.42336873262
1035,2,3,1962,0.0,1.0,0.0,61374.1140631164
1108,5,2,1956,0.0,1.0,0.0,122502.28634507592
2122,3,2,1967,0.0,1.0,0.0,183209.33392295765
2632,5,1,2002,0.0,0.0,1.0,310592.5609134525
1868,2,1,2006,1.0,0.0,0.0,153060.65371662064
2012,4,2,1988,1.0,0.0,0.0,222751.57418943947
1781,4,2,2020,1.0,0.0,0.0,109627.5038437063
1889,3,2,1985,1.0,0.0,0.0,285572.91395596345
1354,3,1,1975,1.0,0.0,0.0,136019.03027821236
1144,4,2,1997,1.0,0.0,0.0,189146.19890980687
2928,5,2,2012,0.0,0.0,1.0,274669.73142629844
2432,4,1,1958,0.0,0.0,1.0,247115.709957828
1784,2,1,1967,1.0,0.0,0.0,86069.99196263202
1973,4,1,1966,0.0,1.0,0.0,307898.0121372959
1466,3,3,1988,1.0,0.0,0.0,129583.15840967296
1154,2,1,1991,0.0,0.0,1.0,116554.3254798103
1272,3,1,1995,0.0,1.0,0.0,211704.0914107253
2529,3,1,1968,1.0,0.0,0.0,241835.84384900157
2083,3,2,1953,1.0,0.0,0.0,212769.0630853331
1765,5,3,1951,1.0,0.0,0.0,245198.31709858048
2195,3,3,2014,0.0,1.0,0.0,251000.6652285117
1861,2,1,1968,0.0,1.0,0.0,229633.57703802807
2377,5,2,1996,0.0,1.0,0.0,241531.71377052236
1275,3,1,2016,0.0,1.0,0.0,94496.36212475772
2104,4,3,2004,1.0,0.0,0.0,136381.39667617896
2872,4,3,2017,0.0,1.0,0.0,313231.1283342042
1369,2,2,1969,0.0,0.0,1.0,211005.0838360092
1611,2,3,2010,0.0,0.0,1.0,178099.4785317925
1792,2,3,2006,0.0,0.0,1.0,143115.09429874693
1073,4,3,1997,1.0,0.0,0.0,133780.45267525173
2915,5,1,1986,0.0,0.0,1.0,297513.4240955481
1203,5,2,1981,1.0,0.0,0.0,130271.25964854078
2170,3,3,1979,1.0,0.0,0.0,213699.5140397664
1577,2,2,2008,1.0,0.0,0.0,103459.5484909478
1304,5,3,2019,0.0,0.0,1.0,111673.39492060586
2576,2,2,1990,0.0,1.0,0.0,337815.98714691773
1870,4,3,1958,1.0,0.0,0.0,208692.1497994106
2293,5,1,1981,0.0,1.0,0.0,238480.162976842
1042,3,3,1970,0.0,0.0,1.0,123914.69474601664
1002,2,3,1973,1.0,0.0,0.0,68287.09275920843
1411,4,3,2011,0.0,0.0,1.0,168690.52314099035
1319,2,3,1998,0.0,1.0,0.0,152827.870830791
2538,3,3,2003,0.0,1.0,0.0,245078.15970956316
1452,3,2,1989,1.0,0.0,0.0,227438.208204808
1607,2,1,1959,0.0,0.0,1.0,162796.72675736705
2143,2,3,2019,0.0,1.0,0.0,277649.4805101907
1844,4,1,2019,0.0,1.0,0.0,199125.6972069929
2637,3,2,1963,1.0,0.0,0.0,244719.1850391916
1328,5,2,1972,0.0,0.0,1.0,140701.02661874203
1049,3,2,1956,0.0,1.0,0.0,135042.276373927
2326,3,3,2008,0.0,1.0,0.0,324337.8014798314
2410,5,1,1977,0.0,0.0,1.0,258023.51102204097
2823,4,1,2019,1.0,0.0,0.0,248827.84301297212
2328,5,2,1999,0.0,0.0,1.0,256674.9919656448
1743,3,2,1992,0.0,0.0,1.0,159500.14212431188
1749,2,1,1965,1.0,0.0,0.0,250050.53629886103
1748,2,3,1959,0.0,0.0,1.0,134322.10671675348
1611,2,2,1995,0.0,1.0,0.0,182348.80200981483
2360,2,1,1963,0.0,0.0,1.0,227638.74232166636
1773,5,2,2011,1.0,0.0,0.0,203471.6182210732
1586,4,2,1965,1.0,0.0,0.0,163736.68682821395
2874,5,3,2011,0.0,1.0,0.0,293349.34848545847
2213,2,3,2019,0.0,0.0,1.0,153636.5376706886
1831,4,3,1961,0.0,0.0,1.0,186579.5426374949
2811,4,3,2012,1.0,0.0,0.0,284051.5015766079
2956,3,3,2011,1.0,0.0,0.0,247622.89982088495
1722,5,1,1989,1.0,0.0,0.0,203247.2446144823
1395,2,3,1966,0.0,1.0,0.0,226056.84055583508
1240,3,2,1958,0.0,0.0,1.0,162496.30408485848
1090,3,2,1991,1.0,0.0,0.0,99013.1236833702
2880,5,2,2003,0.0,1.0,0.0,306160.597225666
1962,3,1,1991,0.0,0.0,1.0,165694.43497645424
2139,3,1,1965,0.0,1.0,0.0,308228.3806237997
1025,5,2,1968,0.0,1.0,0.0,76896.31817289945
1362,2,2,2004,0.0,1.0,0.0,244636.2509037576
1356,3,1,2009,0.0,0.0,1.0,173877.600911647
1433,4,1,1956,0.0,0.0,1.0,194239.83077805748
2999,5,2,1999,0.0,0.0,1.0,461502.0146300577
1022,2,3,1982,1.0,0.0,0.0,87777.16812795248
2486,3,1,2020,0.0,0.0,1.0,359999.04844202346
